Id,Vin,Make,Model,Year,TrafficRegisterDate
1,WAUEFAFL7DA309795,Mercedes-Benz,G-Class,2006,2010-03-13
2,WBAPK73579A659609,Oldsmobile,Achieva,2005,2000-04-22
3,3VWML7AJ1EM460438,Mitsubishi,Lancer Evolution,2015,2019-07-26
4,5N1AN0NU8BC328362,GMC,Yukon XL 2500,2012,2001-07-02
5,WBA4B1C54FG431611,Mercedes-Benz,500E,2002,2004-04-27
6,YV1902FH4D2114250,Buick,Skyhawk,2003,2008-02-06
7,3C3CFFCR3CT052713,Saturn,L-Series,2004,2021-09-08
8,WBAEV33403P705624,Ford,Transit Connect,2001,2014-06-26
9,KNADH4A34A6172120,Dodge,Dakota Club,2006,2010-02-09
10,WBAAW33451E709687,Plymouth,Neon,2016,2018-12-21
11,WAUHF98P36A811931,Mitsubishi,L300,2020,2009-06-03
12,JTJBM7FX3F5552661,Pontiac,Bonneville,2003,2000-09-21
13,KMHHT6KD5BU926320,Alfa Romeo,Spider,2006,2021-04-17
14,WBALW3C51CC835108,Cadillac,Eldorado,2003,2019-10-28
15,3GYEK63N12G033091,Chevrolet,SSR,2013,2019-09-03
16,WAUUL78E96A546197,Plymouth,Neon,2009,2006-12-13
17,WBA3B9C58FJ411147,Kia,Sephia,2000,2012-06-28
18,1GD11XEGXFF374228,Peugeot,207,2006,2020-03-26
19,WDDJK7DA8FF050666,Mercury,Mountaineer,2005,2013-09-15
20,JN1AY1AR6DM393021,Audi,TT,2000,2001-10-30
21,1C3BCBEB9DN608179,Acura,TL,2018,2017-06-09
22,1G6KE57Y81U130074,Audi,S6,2008,2006-01-17
23,WBA3X9C57ED325987,Honda,Odyssey,2021,2013-01-19
24,4T3BA3BB6FU016360,Ford,Escape,2005,2007-07-13
25,WAUAF98E66A502356,Mazda,Mazda5,2018,2003-07-14
26,1G6AK5S37D0933051,Volkswagen,rio,2002,2010-11-02
27,1G6DS57V480704341,Chevrolet,Avalanche 2500,2020,2010-02-23
28,WAUWFAFH0AN800326,Volvo,C70,2001,2013-04-16
29,WDDNG9FB2DA082527,Toyota,Highlander,2018,2019-09-09
30,WAUDH98E66A143968,Toyota,4Runner,1999,2021-06-15
31,WAUMFAFL2CA346375,GMC,Sierra 1500,2005,2000-04-11
32,4T1BF3EK9BU162865,Chevrolet,Tahoe,2020,2002-12-05
33,3D73M3HL7BG867398,Ford,Club Wagon,2020,2000-05-12
34,5TFBW5F18BX173585,Dodge,Charger,2015,2010-12-04
35,WAUHFAFL8DA191124,Hyundai,Tiburon,2019,2011-11-29
36,JHMZF1C62FS555362,Land Rover,Discovery Series II,2006,2006-11-17
37,1C4NJCBA3ED496809,Kia,Carens,2004,2021-05-25
38,WAUBFAFL4DA422283,Nissan,Leaf,2004,2015-06-10
39,5BZBF0AA0FN540734,Mitsubishi,Pajero,2001,2018-07-27
40,WAUKH78EX7A599811,GMC,1500 Club Coupe,2012,2019-03-10
41,WAU3GAFR1EA778570,Lexus,LS,2018,2018-12-27
42,4A4AP3AU8FE204438,Nissan,Stanza,2016,2020-10-02
43,WBAXH5C57DD228052,Volkswagen,GTI,1999,2008-08-28
44,1G6DV5EP3C0972639,Audi,TT,2007,2004-09-06
45,1G6DL1E34D0940800,Dodge,Viper,2000,2021-06-23
46,WDDPK4HA9FF592829,GMC,Suburban 1500,1999,2020-01-01
47,1GYFK53239R221254,Ford,F350,2007,2001-01-14
48,1B3CB3HA0AD731609,Nissan,Altima,2006,2008-04-22
49,KNAFZ6A3XF5166093,Mazda,MX-5,2003,2011-11-16
50,WAUAFAFL3AN071933,Lincoln,Town Car,2016,2007-01-19
51,5N1AN0NU8AC762182,Infiniti,G35,2021,2003-02-27
52,JN1AJ0HP1BM650215,Ford,Crown Victoria,2015,2018-03-24
53,1GKUCHE09AR714615,Toyota,Tundra,2006,2001-07-10
54,WAUVFAFR2CA212555,Audi,A4,2010,2007-01-22
55,1FTSE3ELXAD643803,Chevrolet,Silverado 2500,2011,2018-04-11
56,WBAUP9C54DV609266,Ford,Fairlane,2003,2009-06-17
57,WAUDH78E26A889905,Subaru,Legacy,1999,2017-08-07
58,1N4AA5AP2EC885355,Ford,Freestar,2003,2007-11-05
59,19XFB4F2XFE226910,Lotus,Exige,2020,2010-11-21
60,2G61V5S34D9125897,Hyundai,Elantra,2011,2017-09-13
61,1G6DV1EP6C0728914,Mitsubishi,Galant,2009,2014-11-11
62,WAUDH98E78A074579,Mitsubishi,Eclipse,2002,2018-03-14
63,3N1CN7AP1FL837082,Toyota,Yaris,2010,2006-08-22
64,SAJWA4GB5EL831619,GMC,3500,2004,1999-11-08
65,1FTEW1CM6CF829968,Chrysler,300,2000,2018-03-05
66,WA1YD64B95N316281,Lexus,SC,2008,2003-04-12
67,WBABV13475J668858,Pontiac,Grand Prix,1999,2007-02-04
68,1G6KD57Y58U687084,Lamborghini,Diablo,2013,2005-02-07
69,2C3CDXHG2CH980072,Lexus,LS,2004,2017-11-11
70,2HNYD28307H542412,Dodge,Ram Wagon B250,2020,2015-12-21
71,SAJWA0JH5EM007040,Suzuki,Cultus,2021,2002-04-15
72,JN1BY0AR7AM111737,Toyota,4Runner,2007,2001-05-11
73,4T1BD1EB3EU731742,BMW,3 Series,2005,2004-09-25
74,5GTMNGEE9A8140043,Plymouth,Sundance,2006,2018-10-13
75,1N4AA5AP8DC118396,Land Rover,Discovery,2011,2009-07-09
76,SCFEBBBK9BG102287,BMW,760,2004,2012-09-15
77,WBAKE5C56DJ427680,Cadillac,Eldorado,2021,2014-02-05
78,JN1CV6AP7AM177011,Ford,E-Series,1999,2007-03-02
79,WA1VMBFP9EA719091,Chevrolet,Colorado,2006,2002-10-30
80,WAURGAFD8EN204054,BMW,3 Series,2005,2014-10-10
81,WD3PE7DC5F5075862,Fillmore,Fillmore,2005,2001-09-07
82,WDDJK7DA0EF075060,Buick,Rendezvous,2018,2004-04-09
83,5NPDH4AE4FH542645,Chevrolet,Suburban 2500,2004,2014-07-26
84,1C6RD6GP2CS737072,Acura,NSX,2006,2018-12-24
85,5NPDH4AEXBH197454,Cadillac,DTS,2021,2013-03-26
86,1C4RDJEG1EC086304,Chevrolet,Cavalier,2015,2005-10-08
87,4USBT53555L007725,Honda,Accord,2010,2016-11-07
88,KMHTC6AD0CU754873,BMW,5 Series,2017,2020-02-06
89,1D7CE2BKXAS681918,BMW,Z4,2014,2018-01-19
90,WBAVS13508F132050,Morgan,Aero 8,1999,2003-11-24
91,WAUEFBFL1AN468998,Ford,Expedition EL,2009,2011-04-09
92,WBASN4C52AC201422,Volkswagen,New Beetle,2006,2010-03-26
93,WVWGU9ANXBE536316,Ford,E-Series,2013,2005-06-11
94,SCFEBBCF4CG199742,Mitsubishi,Galant,2002,2009-01-16
95,19UUA65514A025013,Buick,Century,2020,2017-03-28
96,WBAVB17556N802043,Mercedes-Benz,R-Class,2003,2000-08-06
97,JTEBU5JR4D5331899,Acura,Legend,2007,2004-12-24
98,JTDKN3DP5C3044047,Audi,A4,2013,2004-08-10
99,WA1LMAFE3FD437352,Mercedes-Benz,300TE,2020,2000-03-25
100,WBAEW53422P875846,Ford,F250,2000,2003-08-18
101,WAULC58E45A847362,Chevrolet,Cruze,2013,2003-04-11
102,JTEBC3EH4C2235392,Mitsubishi,Lancer,2003,2008-08-12
103,WVGAV7AX6CW178471,Daewoo,Leganza,2001,2013-12-29
104,5UXFG8C51BL120028,Subaru,Brat,2013,2014-12-17
105,5FNYF3H20AB012435,Acura,RDX,2003,2014-10-16
106,WA1YD54B85N916574,Chevrolet,Sportvan G30,2008,2011-06-24
107,1G6EC12902B473311,Audi,A3,2002,2001-09-14
108,1C4RJEAG9DC676545,Chevrolet,S10,2016,2018-11-22
109,19UUA8F35DA041109,Ford,Thunderbird,2009,2005-05-11
110,2LNBL8CV9AX970515,Audi,S4,2012,2019-05-29
111,1FTMF1EW8AK060095,Audi,A3,2020,2018-04-19
112,WBASN2C50DC491619,Hyundai,Azera,2002,2021-09-27
113,19UUA9F79EA750801,Jaguar,XJ,2009,2009-08-14
114,19VDE1F72DE454527,BMW,M5,2016,2000-02-12
115,WAUXF78K69A385600,Bentley,Continental GTC,2013,2002-07-29
116,JH4DC53073S401683,Hyundai,Elantra,2011,2001-02-20
117,1GD120EG0BF764530,Mercury,Cougar,2008,2015-12-09
118,TRUTC28N121600397,Lincoln,Town Car,2006,2012-10-22
119,19UUA86269A082976,Audi,A8,2005,2003-05-17
120,WAUGU44D02N448622,Saab,9000,2000,2017-06-05
121,2T1BPRHE5FC599839,Chevrolet,Corvette,2008,2004-01-03
122,5NPEB4AC8EH769999,GMC,Safari,2003,2018-05-27
123,1FMCU9C75AK225267,Audi,200,1999,2015-07-28
124,5N1AN0NW9FN317172,Ford,LTD Crown Victoria,2021,2019-05-16
125,1G6AL1R33F0579866,Subaru,Tribeca,2016,2002-05-09
126,1G6AC1R35F0329836,Infiniti,J,2014,2012-08-16
127,JN8AE2KP3E9405725,Ford,Explorer,2017,2013-01-05
128,2T2BK1BA7AC028881,BMW,Z4,2011,2014-04-09
129,SCFFDAAM7DG744232,Chevrolet,Express 1500,2016,2001-08-12
130,JM1BL1K38B1727476,Volvo,960,2017,2013-10-13
131,1G6DM57T360932708,GMC,Canyon,1999,2010-10-14
132,2C3CDXGJ3CH003357,Honda,Civic,2003,2007-03-15
133,1GTN1UEHXFZ323842,Maserati,Karif,2016,2014-09-05
134,WAUMFAFR5FA027089,Dodge,Magnum,2004,2000-04-03
135,WA1LFAFP1FA209167,GMC,Sierra 3500,2000,2020-11-16
136,2LMHJ5FK5FB024159,Jeep,Compass,2014,2012-03-01
137,WP0AB2A99FS140049,Chevrolet,Venture,2016,2021-04-27
138,JTEBU5JR8B5958263,Ford,Taurus,2004,2014-07-23
139,WBANE73507C217951,Kia,Sorento,2001,2004-06-10
140,2FMHK6DC8AB484500,Suzuki,Swift,2006,2011-02-03
141,WAUDF98E75A324551,Porsche,911,2019,2021-10-01
142,YV126MFB7F1511497,Pontiac,6000,2010,2005-07-01
143,1N6AF0KX9EN003323,Honda,Pilot,2000,2003-07-05
144,JTDKDTB38C1006875,Jeep,Patriot,2018,2003-06-30
145,1G4PR5SK4C4425018,Chevrolet,Camaro,2008,2017-07-10
146,1D4PU2GK7BW214962,Volvo,V70,2014,2018-01-31
147,1FA6P8AM7F5805064,Mitsubishi,L300,2005,2001-07-11
148,WA1MKAFP7AA336871,BMW,M6,1999,2006-03-14
149,WAUEV94F88N634131,GMC,Savana 1500,2000,2005-02-23
150,SCBGT3ZA0DC807791,Saab,9-3,2016,2011-07-13
151,1FTEW1CM8EK817119,Dodge,Grand Caravan,2008,2018-11-20
152,WBADR634X3G032682,Hyundai,Tucson,2015,2021-08-11
153,1D4PU7GX8AW767661,BMW,1 Series,2015,2014-05-23
154,YV4902DZ6D2418193,Pontiac,GTO,2011,2012-06-08
155,2FMGK5BC5BB376961,Mercedes-Benz,G-Class,2010,2006-06-06
156,WAUAH98E98A544890,Volkswagen,GTI,2002,2009-03-13
157,WP0AA2A90FS048072,Toyota,Solara,2008,2019-02-12
158,5FRYD4H66EB774350,Suzuki,Verona,2010,2004-11-07
159,5TFCW5F19CX607339,Toyota,RAV4,2009,2000-10-10
160,1FTWX3B52AE124823,GMC,Yukon Denali,2005,2000-12-23
161,JM1DE1KY0E0544145,Chrysler,Sebring,2003,2005-06-01
162,4T1BF1FK6CU498154,Chevrolet,Tahoe,2020,2017-04-19
163,WAUKGAFB6AN239167,Ford,Explorer Sport Trac,2000,2017-11-20
164,1GYS4NKJ2FR088712,Acura,Integra,2021,2018-02-18
165,SAJWA4GC8EM819838,Jaguar,S-Type,2012,2014-12-04
166,SCBDC47L98C003976,Infiniti,M,2021,2013-04-19
167,4USBU33508L179263,Chevrolet,Corvette,2003,2015-06-14
168,1GYFC532X9R121715,Ford,Escort,1999,2004-05-25
169,WBSPM9C50BE474365,Chevrolet,Camaro,2004,2008-06-05
170,JTDKTUD33ED682223,Mercury,Milan,2021,2008-09-27
171,JH4CU2F60AC859225,Land Rover,Range Rover Sport,2015,2008-06-24
172,1G6DL5E34C0135062,Isuzu,Rodeo,2019,2001-10-16
173,WBSKG9C58BE391963,Mercedes-Benz,SL-Class,2001,2009-01-07
174,WBA4A5C58FG769779,Mazda,RX-7,2018,2007-10-30
175,5TDBM5G16BS161350,Ford,Probe,2020,2001-09-13
176,1GYS4FEJ2CR624992,Mercury,Topaz,1999,2003-01-24
177,1GKS1GEJ7DR737718,Pontiac,Bonneville,2021,2000-11-13
178,1G4GC5GR0CF922854,Pontiac,Grand Prix,2019,2009-05-22
179,5UXFG2C52CL112745,Maserati,Quattroporte,2019,2006-10-01
180,1G4HC5EM6BU974088,Smart,Fortwo,2001,2021-02-19
181,WAULK78K79A238521,Mercury,Sable,2004,2007-07-22
182,19XFA1E39AE933159,Mercury,Cougar,2010,2008-07-10
183,JH4CU2E89CC099205,GMC,Yukon,2015,2007-12-24
184,1GD02ZCG0CF960553,Plymouth,Neon,2017,2016-02-21
185,1N6AF0LX7FN619585,Lamborghini,Diablo,2006,2013-05-18
186,2G4GZ5GV4B9842203,Toyota,Matrix,2005,2003-12-06
187,JTDKDTB37C1414106,Audi,Q7,2000,2010-02-01
188,WBABW53426P581906,Dodge,Ram 3500,2006,2008-02-20
189,3VW517AT0FM222786,Chevrolet,Express,2010,2006-10-11
190,WBA3T7C5XF5068495,Plymouth,Breeze,2005,2020-01-23
191,WAULT64B24N708596,Pontiac,GTO,2003,2019-01-20
192,1C3CDZBG9EN954101,Lincoln,MKZ,2014,2011-07-31
193,3D7JV1EP2BG418257,Nissan,Maxima,2013,2010-02-14
194,1YVHZ8BH1B5840055,Mercedes-Benz,SL-Class,2020,1999-11-22
195,1G6DX67D760734266,Dodge,Ram Van B150,2015,2016-09-01
196,5UMBT935X8L644865,Toyota,Corolla,2005,2018-03-17
197,1G6DL8EY1B0514824,Mercedes-Benz,SLR McLaren,2017,2018-09-16
198,1GKUCFDJ0AR295052,Ford,LTD,2008,2017-05-05
199,1C6RD6PT5CS718805,Volvo,V70,2000,2009-12-23
200,WA1AY74L18D426028,Toyota,Avalon,2013,2016-01-18
201,WBABW53436P721607,MINI,Cooper,1999,2014-08-11
202,KNADH4A3XA6335966,Suzuki,Verona,2003,2016-06-14
203,WAUAFAFL1AA268087,BMW,8 Series,2001,2015-05-26
204,5N1AN0NU5BC555878,Subaru,Legacy,2012,2005-07-22
205,1YVHZ8BH7B5678853,Audi,A6,1999,2001-04-18
206,JN1AV7AP1FM018778,Mercedes-Benz,M-Class,2000,2021-08-09
207,1D7RB1CP1BS946931,Buick,Roadmaster,2010,2006-10-01
208,WAULC58E15A653257,Mercedes-Benz,E-Class,2007,2006-08-31
209,1FMCU5K30AK911353,Mazda,MPV,2021,2018-02-11
210,1FMJU1F58AE668482,Buick,Skylark,2021,2003-05-12
211,3D73Y4CL8BG753234,Pontiac,Grand Prix,2010,2010-12-22
212,1G4GC5GR8CF192319,Pontiac,Bonneville,2006,2020-03-22
213,5TDDK3DCXFS082990,Mitsubishi,Mirage,2019,2004-09-20
214,SCBLF34F34C891646,Dodge,Ram Van 2500,2015,2000-12-20
215,WAUAH94F67N572183,Mercury,Sable,2013,2008-08-06
216,2HNYD28608H977703,Toyota,Venza,2011,2016-09-11
217,3FAHP0DC7BR462289,Lotus,Esprit,2017,2009-06-06
218,1GKS1KE00ER583736,Chrysler,Imperial,2005,2000-11-21
219,1G6DV8EP8E0803494,BMW,8 Series,1999,2016-08-30
220,JTJBC1BA5E2392817,Pontiac,Bonneville,2003,2012-02-17
221,WBA3V9C55FP115295,Mazda,CX-5,2002,2009-12-02
222,WDDNG7DBXDA372716,Ford,Bronco II,2018,2013-10-17
223,1GD11ZCG5CF776684,Hyundai,Elantra,2009,2020-09-01
224,1LNHL9EK7FG391278,Dodge,Viper,2020,2010-05-12
225,SCFFDCCD2AG303127,Mercedes-Benz,M-Class,2009,2001-07-01
226,1G6EL12Y71B211212,Subaru,Alcyone SVX,2000,2018-12-17
227,5TFCY5F19BX382798,Chevrolet,Suburban 1500,2006,2021-05-23
228,JN1BY1AR8EM260508,Mazda,B-Series,2003,2019-04-27
229,1FADP5AU0DL619977,GMC,1500 Club Coupe,2021,2011-06-22
230,WDDNG7BB5AA590464,Cadillac,Fleetwood,2021,2013-11-16
231,JA32U2FU9EU931940,Porsche,Cayenne,2005,2008-05-23
232,WBAEV33472K107624,Volvo,850,2010,2008-09-03
233,3GYFNJE66BS553966,Volkswagen,Golf,2010,2008-07-28
234,WBALL5C55EP197106,Nissan,Pathfinder,2004,2000-01-27
235,1N6AD0CU2FN375307,Nissan,Armada,2019,2001-02-21
236,2G4GS5EV3D9590017,Dodge,Grand Caravan,2020,2021-05-16
237,NM0KS9BN9AT607074,Honda,Accord,2005,2003-04-23
238,5J8TB2H55CA452979,Mazda,Miata MX-5,1999,2009-06-10
239,3C3CFFER3FT048873,Kia,Amanti,2008,2000-02-27
240,SCFEBBAK4BG966875,Hummer,H1,1999,2007-08-15
241,KMHHT6KD9AU573496,Mazda,Miata MX-5,2009,2005-11-18
242,1G4PR5SK0C4434881,Ford,F-Series,2019,2019-10-26
243,KNADH4A34A6509241,Dodge,Dakota Club,2011,2017-07-06
244,1G6DM8ED5B0347510,Pontiac,Sunbird,2018,2015-09-30
245,2C3CCABG9EH408105,Lincoln,MKT,2013,2000-07-28
246,1FTSW2B50AE359197,Land Rover,Range Rover,2000,2000-02-21
247,1D4PT2GK0AW030237,GMC,Jimmy,2001,2009-01-23
248,SCBBP9ZA7CC581636,Audi,V8,2018,1999-12-13
249,JM1CR2W36A0271517,Honda,Accord,2003,2008-06-09
250,JN1AJ0HP4CM180876,Lincoln,Town Car,2002,2003-10-27
251,19UYA42671A703925,Acura,TL,2004,2010-09-26
252,3CZRE3H3XBG256342,Dodge,Dakota,2000,2011-04-09
253,2C3CCASG3DH768985,Buick,Somerset,2010,2003-12-29
254,WAUSH98EX6A786749,Dodge,Ram Wagon B250,2000,2008-01-03
255,4T3BA3BB3CU706644,Toyota,Tacoma Xtra,2008,2019-05-27
256,1G6KP5E96AU732347,Nissan,300ZX,2010,2015-11-05
257,1FTSW3A53AE206434,Ford,Mustang,2001,2000-08-25
258,1YVHZ8BAXA5075039,Jaguar,XJ Series,2010,2015-06-07
259,5N1AA0NC6DN776951,Chevrolet,Express 2500,2003,2004-01-06
260,3C63DRGL5CG894851,Eagle,Talon,2001,2006-01-26
261,WAULT58E95A711647,BMW,M,2014,2012-04-24
262,1G4HF57968U022779,Subaru,Impreza,2008,2011-10-03
263,4T1BF3EK3AU342518,Honda,Fit,2017,2005-11-07
264,JHMGE8G37CS604828,Mercedes-Benz,500SL,2005,2010-02-06
265,WAULD54B84N507003,BMW,7 Series,2012,2015-07-07
266,2HNYD2H32DH799888,Volkswagen,Touareg,2005,2006-10-17
267,2FMDK4KC9AB890940,Chevrolet,Suburban 2500,2012,2011-07-30
268,KMHGC4DE9AU640488,Mazda,RX-8,2008,2006-10-09
269,4T1BF1FK0CU160815,Nissan,Pathfinder,2020,2000-08-31
270,WA1WMBFE6FD448980,Subaru,XT,2014,2020-08-06
271,2LMDJ6JK2DB355886,Volkswagen,Jetta,2012,2013-06-16
272,SAJWA6A79F8179978,Isuzu,Hombre Space,2014,2004-03-13
273,WBANA73505B389380,Mitsubishi,Mirage,2011,2002-02-13
274,WBANB53556C161484,Mazda,B-Series Plus,2017,2005-06-02
275,JTHBL1EF4B5659836,Ford,F250,2005,2017-01-02
276,1NXBU4EE3AZ967653,Suzuki,Grand Vitara,1999,2020-04-16
277,WBAYE4C55ED037917,Chevrolet,Silverado 2500,2017,2003-05-21
278,3D7TT2CT5BG003146,Isuzu,Hombre,2001,2017-03-16
279,1HGCR2F38DA259028,Mazda,Mazdaspeed 3,2003,2015-09-02
280,5N1AN0NW0FN662123,Ford,Escape,2005,2008-07-05
281,KNDMG4C78C6969446,Ferrari,F430,2014,2007-12-24
282,1FTSW2B5XAE637149,Toyota,MR2,2014,2015-06-05
283,WAUSH78E88A130508,Ford,F-Series,2014,2020-07-04
284,1G6DA1E31C0316487,Jeep,Compass,2015,2014-07-27
285,1G6AG5RX0E0837659,Mercedes-Benz,CL-Class,2018,2013-12-20
286,WAURV78T49A533747,Acura,NSX,2017,2008-08-24
287,WA1DGAFE5ED479015,Land Rover,Defender Ice Edition,2021,2009-04-05
288,2T1KU4EE1CC399410,Pontiac,Grand Am,1999,2001-06-15
289,5GAER23768J464028,Ford,GT,2015,2018-10-20
290,5YMGY0C56DL667293,Honda,Pilot,2000,2020-10-16
291,WBAGK93431D416899,Lotus,Esprit,2013,2002-04-10
292,3D7TT2CT8BG938967,Volvo,S80,2018,2009-07-19
293,WAUDV94F89N912295,Spyker,C8,2010,2012-10-17
294,JTHBK1GG4F2743896,Nissan,Sentra,2019,2011-04-07
295,1FTEW1CM6BK842287,Aston Martin,DB9,2005,2010-11-15
296,WP0AB2A96FS587664,Infiniti,G,2017,2010-02-10
297,WAUJT54B52N247537,Ford,E150,2008,2002-12-02
298,WVGAV7AX8BW900795,Dodge,Dakota,2019,2018-03-08
299,WAUDF78E47A965700,Audi,A5,2019,2013-02-22
300,WAUR2AFD3EN929365,Mitsubishi,Galant,2007,2019-01-14
301,WAUVT58E05A914306,Mazda,Mazda6,2016,2013-10-20
302,WP0AB2A94AS997923,Ferrari,F430,2013,2001-05-15
303,KMHCT4AE1CU203736,Pontiac,Firefly,2008,2008-05-13
304,19UUA65666A248465,Pontiac,Firebird,2014,2001-11-28
305,19UUA56681A829273,Saab,9-7X,2002,2021-05-20
306,1GYUCBEF2AR121024,Ford,Mustang,2011,2020-09-04
307,SCBEC9ZAXFC023406,Mercury,Mariner,2006,2014-10-18
308,WBANN73546C095819,Maybach,62,1999,2014-11-08
309,1G6AB5RX2D0549400,Hummer,H2 SUT,2017,2003-12-08
310,WBA1F5C51FV555118,Volkswagen,Jetta,2006,2020-03-21
311,JTDBT4K35B1450478,Mitsubishi,Truck,2020,2016-11-28
312,JH4CU4F69DC765568,Ford,Explorer Sport Trac,2014,2001-07-26
313,WAUEV74F27N634404,Ford,F450,2012,2018-11-02
314,WAUJT54B03N617987,Honda,CR-X,2002,2012-04-02
315,KL4CJCSB2DB063566,Mercedes-Benz,G-Class,2007,2016-11-10
316,3N1CN7AP9EL105040,GMC,Yukon XL 2500,2018,2016-04-29
317,JTJHY7AX4B4076751,Hyundai,Equus,2020,2011-09-29
318,5UXFB93533L527533,Kia,Forte,2012,2009-04-13
319,JTDZN3EU1FJ896818,Lexus,IS,2020,2014-12-09
320,WAUEV74F98N062054,Ford,Probe,2009,2007-04-06
321,1G6DV5EP4C0903023,Mercedes-Benz,G-Class,2003,2006-10-01
322,3C6LD5BT0CG530644,Chevrolet,Tahoe,2004,2012-10-19
323,SCBCR63W54C368512,Mazda,Protege,2013,2016-07-23
324,1GD02ZCG5DF117207,Porsche,Cayenne,2020,2019-08-15
325,3C6TD5JT2CG232629,Honda,Fit,2002,2009-04-06
326,WBANF33546C571394,Mitsubishi,Lancer,2006,2012-08-30
327,KNADM5A39D6780639,Chevrolet,Lumina,2015,2014-11-24
328,SCBBR53W568535463,Dodge,Ram 1500,2013,2000-06-18
329,WAUAC68D81A125827,Cadillac,SRX,2011,2001-11-30
330,WAUEH94F57N149998,Mazda,626,2005,2015-03-09
331,1C4RDJDG6DC563969,GMC,Sierra 1500,2016,2009-02-11
332,WBA5A7C59ED792259,Saab,9-7X,2018,2002-02-03
333,1GD02ZCG8BF421273,Infiniti,QX56,1999,2012-05-24
334,SCFPDCGP8EG854094,Lincoln,Town Car,2004,2017-02-25
335,WBAWL735X7P815788,Mazda,MX-5,2011,2011-08-05
